date,series_id,value
1947-01-01,A229RX0Q048SBEA,9727
1947-04-01,A229RX0Q048SBEA,9590
1947-07-01,A229RX0Q048SBEA,9801
1947-10-01,A229RX0Q048SBEA,9618
1948-01-01,A229RX0Q048SBEA,9758
1948-04-01,A229RX0Q048SBEA,10021
1948-07-01,A229RX0Q048SBEA,10140
1948-10-01,A229RX0Q048SBEA,10150
1949-01-01,A229RX0Q048SBEA,9906
1949-04-01,A229RX0Q048SBEA,9916
1949-07-01,A229RX0Q048SBEA,9938
1949-10-01,A229RX0Q048SBEA,9949
1950-01-01,A229RX0Q048SBEA,10672
1950-04-01,A229RX0Q048SBEA,10603
1950-07-01,A229RX0Q048SBEA,10690
1950-10-01,A229RX0Q048SBEA,10707
1951-01-01,A229RX0Q048SBEA,10673
1951-04-01,A229RX0Q048SBEA,10868
1951-07-01,A229RX0Q048SBEA,10941
1951-10-01,A229RX0Q048SBEA,10870
1952-01-01,A229RX0Q048SBEA,10821
1952-04-01,A229RX0Q048SBEA,10916
1952-07-01,A229RX0Q048SBEA,11088
1952-10-01,A229RX0Q048SBEA,11274
1953-01-01,A229RX0Q048SBEA,11365
1953-04-01,A229RX0Q048SBEA,11471
1953-07-01,A229RX0Q048SBEA,11364
1953-10-01,A229RX0Q048SBEA,11273
1954-01-01,A229RX0Q048SBEA,11282
1954-04-01,A229RX0Q048SBEA,11247
1954-07-01,A229RX0Q048SBEA,11314
1954-10-01,A229RX0Q048SBEA,11475
1955-01-01,A229RX0Q048SBEA,11613
1955-04-01,A229RX0Q048SBEA,11822
1955-07-01,A229RX0Q048SBEA,11986
1955-10-01,A229RX0Q048SBEA,12067
1956-01-01,A229RX0Q048SBEA,12139
1956-04-01,A229RX0Q048SBEA,12204
1956-07-01,A229RX0Q048SBEA,12210
1956-10-01,A229RX0Q048SBEA,12337
1957-01-01,A229RX0Q048SBEA,12321
1957-04-01,A229RX0Q048SBEA,12357
1957-07-01,A229RX0Q048SBEA,12364
1957-10-01,A229RX0Q048SBEA,12226
1958-01-01,A229RX0Q048SBEA,12073
1958-04-01,A229RX0Q048SBEA,12110
1958-07-01,A229RX0Q048SBEA,12323
1958-10-01,A229RX0Q048SBEA,12455
1959-01-01,A229RX0Q048SBEA,12473
1959-04-01,A229RX0Q048SBEA,12625
1959-07-01,A229RX0Q048SBEA,12554
1959-10-01,A229RX0Q048SBEA,12588
1960-01-01,A229RX0Q048SBEA,12659
1960-04-01,A229RX0Q048SBEA,12664
1960-07-01,A229RX0Q048SBEA,12625
1960-10-01,A229RX0Q048SBEA,12570
1961-01-01,A229RX0Q048SBEA,12646
1961-04-01,A229RX0Q048SBEA,12789
1961-07-01,A229RX0Q048SBEA,12905
1961-10-01,A229RX0Q048SBEA,13101
